Root word,Word,Phonetic,Type,Vietnamese meaning
LEARN,Learn sth by rote,,phr.v,Học vẹt điều gì
LEARN,Learn sth by heart,,phr.v,Học thuộc lòng điều gì
LEARN,Learn to do sth,,phr.v,Học cách làm việc gì
LEND,Lend a hand to do sth,,phr.v,Giúp một tay để làm gì
LET,Let sb do sth,,phr.v,Cho phép ai làm việc gì
Allow,Allow sb to do sth,,phr.v,Cho phép ai làm việc gì
Permit,Permit sb to do sth,,phr.v,Cho phép ai làm việc gì
LOOK,Look around,,phr.v,Nhìn; xem xung quanh
LOOK,Look for,,phr.v,Tìm kiếm
LOOK,Look forward to doing sth,,phr.v,Mong muốn được làm điều gì
LOOK,Look out,,phr.v,Coi chừng
LOOK,Look up,,phr.v,Tra cứu
MAKE,Make a choice,,phr.v,Đưa ra lựa chọn
MAKE,Make a connection,,phr.v,Tạo ra sự kết nối
MAKE,Make a decision about sth,,phr.v,Đưa ra quyết định về điều gì
MAKE,Make a decision on sth,,phr.v,Đưa ra quyết định về điều gì
MAKE,Make a list of sth,,phr.v,Tạo một danh sách những thứ gì đó
MAKE,Make up,,phr.v,Trang điểm; bịa đặt; làm hòa...
MAKE,Make money,,phr.v,Kiếm tiền
EARN,Earn money,,phr.v,Kiếm tiền
MANAGE,Manage time,,phr.v,Quản lý thời gian
MARK,Mark a giant leap for sb,,phr.v,Có một bước nhảy vọt lớn đối với ai
MARK,Mark a giant leap for sth,,phr.v,Có một bước nhảy vọt lớn đối với cái gì
MEAN,Mean to do sth,,phr.v,Có ý khi làm việc gì
MEAN,Mean doing sth,,phr.v,Kêu gọi; lôi kéo theo việc gì
MIND,Mind doing sth,,phr.v,Ngại làm việc gì
MOVE,Move in,,phr.v,Chuyển vào (nhà mới)
NEED,Need doing sth/to be done,,phr.v,Cần được làm gì
OBEY,Obey the law,,phr.v,Tuân thủ pháp luật
ON,On one's own,,phr.v,Một mình; tự mình
ON,On purpose,,phr.v,Có mục đích; cố ý
ON,On the outskirt of,,phr.v,Ở ngoại ô
PASS,Pass down,,phr.v,Truyền lại
PAY,Pay attention to sb/sth,,phr.v,Chú ý tới ai/cái gì
PAY,Pay out,,phr.v,Thanh toán
PERSUADE,Persuade sb to do sth,,phr.v,Thuyết phục ai đó làm gì
PICK,Pick sb up,,phr.v,Đón ai đó
PICK,Pick up,,phr.v,Nhặt lên; đón ai đó; cải thiện
PLAN,Plan to do sth,,phr.v,Lên kế hoạch làm việc gì
PLAY,Play an important role in sth,,phr.v,Đóng vai trò quan trọng trong việc gì
PLAY,Play an important part in sth,,phr.v,Đóng phần quan trọng trong việc gì
PREFER,Prefer to do sth,,phr.v,Thích làm việc gì hơn
PREFER,Prefer doing sth,,phr.v,Thích làm việc gì hơn
PROMISE,Promise to do sth,,phr.v,Hứa sẽ làm điều gì
PROTECT,Protect oneself from sb,,phr.v,Bảo vệ bản thân khỏi ai
PROTECT,Protect oneself from sth,,phr.v,Bảo vệ bản thân khỏi thứ gì
PROVIDE,Provide sb with sth,,phr.v,Cung cấp cho ai cái gì
PROVIDE,Provide sth to/for sb,,phr.v,Cung cấp cái gì cho ai
PURSUE,Pursue one's own interest,,phr.v,Theo đuổi sở thích của riêng mình
PUT,Put in,,phr.v,Lắp đặt; thực hiện; bầu cử
PUT,Put out,,phr.v,Dập tắt
PUT,Put up,,phr.v,Dựng lên
RAISE,Raise one's awareness of sth,,phr.v,Nâng cao nhận thức của ai về vấn đề gì
RAISE,Raise one's awareness about sth,,phr.v,Nâng cao nhận thức của ai về vấn đề gì
RATHER,Rather than,,phr.v,Hơn là; thay vì
REFER,Refer to sth,,phr.v,Đề cập tới cái gì
REMIND,Remind sb of sb,,phr.v,Gợi cho ai nhớ về ai
REMIND,Remind sb of sth,,phr.v,Gợi cho ai nhớ về thứ gì
REQUIRE,Require sb to do sth,,phr.v,Yêu cầu ai làm việc gì
RUN,Run away from sb,,phr.v,Chạy trốn khỏi ai
RUN,Run out of sth,,phr.v,Cạn kiệt; hết sạch thứ gì
SAVE,Save sb from sth,,phr.v,Cứu ai đó khỏi điều gì
SAVE,Save sb from doing sth,,phr.v,Cứu ai đó khỏi làm việc gì
SHARE,Share sth with sb,,phr.v,Chia sẻ cái gì với ai
SHOOT,Shoot videos,,phr.v,Quay video; quay phim
SHOUT,Shout at sb,,phr.v,Quát mắng; hét vào mặt ai
SHOW,Show one's gratitude to sth,,phr.v,Thể hiện lòng biết ơn của ai đối với điều gì
SPEND,Spend time doing sth,,phr.v,Dành thời gian làm việc gì
STAY,Stay up,,phr.v,Thức (đêm)
STOP,Stop to do sth,,phr.v,Dừng lại để làm gì đó
STOP,Stop doing sth,,phr.v,Dừng hẳn; không làm việc gì đó nữa
STRESSED,Stressed out,,phr.v,Căng thẳng
SUGGEST,Suggest doing sth,,phr.v,Đề nghị/gợi ý làm điều gì
