Root word,Word,Phonetic,Type,Vietnamese meaning
SKYDIVING,skydiving,/ˈskaɪdaɪvɪŋ/,n,nhảy dù
SNOWBOARDING,snowboarding,/ˈsnəʊbɔːrdɪŋ/,n,trượt ván trên tuyết
SOCIAL STATUS,social status,/ˈsəʊʃl ˈsteɪtəs/,np,địa vị xã hội
SPACE,space,/speɪs/,n,không gian
STATUS SYMBOL,status symbol,/ˈsteɪtəs sɪmbl/,np,biểu tượng địa vị
STRESSFUL,stressful,/ˈstresfl/,a,căng thẳng; áp lực
STRESSFUL,stress,/stres/,n,sự căng thẳng; áp lực
STRESSFUL,stressed,/strest/,a,bị căng thẳng
SUBMARINE,submarine,/ˈsʌbməriːn/,n,tàu ngầm
SUBSCRIBER,subscriber,/səbˈskraɪbər/,n,người đăng kí
SUGGEST,suggest,/səˈdʒest/,v,gợi ý; đề xuất
SUGGEST,suggestion,/səˈdʒestʃən/,n,sự gợi ý
SUGGEST,suggested,/səˈdʒestɪd/,a,được đề xuất
SUGGEST,suggestible,/səˈdʒestəbl/,a,dễ bị ảnh hưởng (bởi đề nghị của người khác)
SURPRISE,surprise,/sərˈpraɪz/,n,sự ngạc nhiên
SURPRISE,surprise,/sərˈpraɪz/,v,làm ngạc nhiên
SURPRISE,surprising,/sərˈpraɪzɪŋ/,a,gây ngạc nhiên; làm bất ngờ
SURPRISE,surprisingly,/sərˈpraɪzɪŋli/,adv,ngạc nhiên thay; thật ngạc nhiên
SURPRISE,surprised,/sərˈpraɪzd/,a,ngạc nhiên; bất ngờ
SWARM,swarm,/swɔːrm/,n,đàn (côn trùng)
SYMPATHY,sympathy,/ˈsɪmpəθi/,n,sự cảm thông
SYMPATHY,sympathize,/ˈsɪmpəθaɪz/,v,thông cảm; cảm thông
SYMPATHY,sympathetic,/ˌsɪmpəˈθetɪk/,a,đồng cảm
SYMPATHY,sympathetically,/ˌsɪmpəˈθetɪkli/,adv,một cách đồng cảm
TASTEFUL,tasteful,/ˈteɪstfl/,a,có óc thẩm mỹ; trang nhã
TECH-BASED,tech-based,/tek beɪst/,a,dựa trên công nghệ
THOUGHT,thought,/θɔːt/,n,sự suy nghĩ; cân nhắc; ý tưởng
THOUGHT,thoughtful,/ˈθɔːtfl/,a,suy nghĩ cẩn thận; chu đáo
THOUGHT,thoughtless,/ˈθɔːtləs/,a,vô tâm; thiếu suy nghĩ
THREAT,threat,/θret/,n,mối đe dọa
TOUGH,tough,/tʌf/,a,khó khăn; cứng nhắc
TRANSFORM,transform,/trænsˈfɔːrm/,v,biến đổi; chuyển đổi
TREASURE,treasure,/ˈtreʒər/,n,kho báu
UNCOVER,uncover,/ʌnˈkʌvər/,v,khám phá; tìm hiểu
UNEARTH,unearth,/ʌnˈɜːrθ/,v,khai quật
UNICORN,unicorn,/ˈjuːnɪkɔːrn/,n,kỳ lân
UNIVERSE,universe,/ˈjuːnɪvɜːrs/,n,vũ trụ
URBAN OASIS,urban oasis,/ˌɜːrbən əʊˈeɪsɪs/,np,ốc đảo đô thị
VALUE,value,/ˈvæljuː/,n,giá trị
VENOM,venom,/ˈvenəm/,n,nọc độc
VENUE,venue,/ˈvenjuː/,n,địa điểm; địa chỉ (tổ chức sự kiện)
VERSATILE,versatile,/ˈvɜːrsətl/,a,tháo vát; đa năng
WALKWAY,walkway,/ˈwɔːkweɪ/,n,lối đi bộ
WASTE,waste,/weɪst/,n,rác thải
WASTE,waste,/weɪst/,v,lãng phí
WASTE,wasteful,/ˈweɪstfl/,a,lãng phí
WELL-BEHAVED,well-behaved,/ˌwel bɪˈheɪvd/,a,cư xử tốt; cư xử đúng mực
WHEEL,wheel,/wiːl/,n,bánh xe
WORRY,worry,/ˈwɜːri/,v,gây lo lắng
WORRY,worry,/ˈwɜːri/,n,sự lo lắng
WORRY,worrying,/ˈwɜːriɪŋ/,a,đáng lo ngại
WORRY,worryingly,/ˈwɜːriɪŋli/,adv,một cách đáng lo ngại
WORRY,worried,/ˈwɜːrɪd/,a,lo lắng
