Root word,Word,Phonetic,Type,Vietnamese meaning
Root word,Word,Phonetic,Type,Vietnamese meaning
LANGUAGE,language,/ˈlæŋɡwɪdʒ/,n,ngôn ngữ
LANGUAGE,linguist,/ˈlɪŋɡwɪst/,n,nhà ngôn ngữ học
LANGUAGE,linguistic,/lɪŋˈɡwɪstɪk/,a,thuộc ngôn ngữ; thuộc ngôn ngữ học
LANTERN,lantern,/ˈlæntərn/,n,đèn lồng
LAPTOP,laptop,/ˈlæptɑːp/,n,máy tính xách tay
LAUNCH,launch,/lɔːntʃ/,v,phóng; khởi chạy; ra mắt; khai trương
LAYER,layer,/ˈleɪər/,n,tầng; lớp
LEARNING FACILITIES,learning facilities,/ˈlɜːrnɪŋ fəˈsɪlətɪz/,np,trang thiết bị học tập
LEISURE,leisure,/ˈliːʒər/,n,thời gian rảnh rỗi
LEISURE HOLIDAY,leisure holiday,/ˈliːʒər ˈhɒlədeɪ/,np,kỳ nghỉ thư giãn
LEOPARD SEAL,leopard seal,/ˈlepərd siːl/,np,báo biển
LIGHTWEIGHT,lightweight,/ˈlaɪtweɪt/,a,nhẹ
LIQUID,liquid,/ˈlɪkwɪd/,n,chất lỏng
LIVESTOCK,livestock,/ˈlaɪvstɑːk/,n,gia súc
LIVING CONDITION,living condition,/ˈlɪvɪŋ kənˈdɪʃn/,np,điều kiện sống
LIVING CONDITION,living standard,/ˈlɪvɪŋ ˈstændərd/,np,chất lượng cuộc sống
LIVING THING,living thing,/ˌlɪvɪŋ θɪŋ/,np,sinh vật sống
LIZARD,lizard,/ˈlɪzərd/,n,thằn lằn
LOCAL FOOD,local food,/ˈləʊkl fuːd/,np,ẩm thực địa phương
LOCAL SPECIALTY,local specialty,/ˈləʊkl ˈspeʃəlti/,np,đặc sản địa phương
LOCATION,location,/ləʊˈkeɪʃn/,n,vị trí; địa điểm
LOCATION,locate,/ˈləʊkeɪt/,v,định vị
LOGGER,logger,/ˈlɔːɡər/,n,tiều phu
MAGNIFICENT,magnificent,/mæɡˈnɪfɪsnt/,a,lộng lẫy; tráng lệ
MAINTAIN,maintain,/meɪnˈteɪn/,v,duy trì; bảo trì
MAJESTIC,majestic,/məˈdʒestɪk/,a,hùng vĩ
MANAGE,manage,/ˈmænɪdʒ/,v,quản lý
MARBLES,marbles,/ˈmɑːrblz/,n,trò chơi bi
MEAN,mean,/miːn/,v,có nghĩa là
MEAN,meaning,/ˈmiːnɪŋ/,n,ý nghĩa
MEAN,meaningful,/ˈmiːnɪŋfl/,a,có ý nghĩa
MEAN,meaningless,/ˈmiːnɪŋləs/,a,vô nghĩa
MECHANIC,mechanic,/məˈkænɪk/,n,thợ cơ khí
MEDICAL UNIVERSITY,medical university,/ˈmedɪkl juːnɪˈvɜːrsəti/,np,đại học y
MEDITERRANEAN,mediterranean,/ˌmedɪtəˈreɪniən/,n,Địa Trung Hải
MEMORABLE,memorable,/ˈmemərabl/,a,đáng nhớ
MEMORABLE,memory,/ˈmeməri/,n,ký ức
MEMORABLE,memorize,/ˈmeməraɪz/,v,ghi nhớ
MENTAL,mental,/ˈmentl/,a,thuộc tinh thần
MENTION,mention,/ˈmenʃn/,v,đề cập
MERCURY,mercury,/ˈmɜːrkjəri/,n,thủy ngân; sao Thủy
METAL,metal,/ˈmetl/,n,kim loại
METRO,metro,/ˈmetrəʊ/,n,tàu điện
MICROSCOPIC ALGAE,microscopic algae,/ˌmaɪkrəˈskɒpɪk ˈældʒiː/,np,vi tảo
MODEL,model,/ˈmɒdl/,n,người mẫu; mô hình; kiểu mẫu
MONUMENT,monument,/ˈmɒnjumənt/,n,đài tưởng niệm
MOONQUAKE,moonquake,/ˈmuːnkweɪk/,n,động đất mặt trăng
MOONQUAKE,earthquake,/ˈɜːrθkweɪk/,n,động đất; trận động đất
MOTHER TONGUE,mother tongue,/ˌmʌðər ˈtʌŋ/,np,tiếng mẹ đẻ
MOTIVATE,motivate,/ˈməʊtɪveɪt/,v,động viên; khích lệ; tạo động lực
MOTIVATE,motivation,/ˌməʊtɪˈveɪʃn/,n,động lực
MOTIVATE,motivated,/ˈməʊtɪveɪtɪd/,a,có động lực; có động cơ
MOUNTAIN RANGE,mountain range,/ˈmaʊntn reɪndʒ/,np,dãy núi
MUSIC PLAYER,music player,/ˈmjuːzɪk pleɪər/,n,máy nghe nhạc
MUST-GO,must-go,/mʌst ɡəʊ/,a,(địa điểm) phải đến
NATIVE SPEAKER,native speaker,/ˌneɪtɪv ˈspiːkər/,np,người bản xứ
NATURAL BEAUTY,natural beauty,/ˌnætʃrəl ˈbjuːti/,np,vẻ đẹp tự nhiên
NATURAL MATERIAL,natural material,/ˌnætʃrəl məˈtɪriəl/,np,vật liệu tự nhiên; nguyên liệu tự nhiên
NATURAL RESOURCES,natural resources,/ˈnætʃrəl rɪˈsɔːrsɪz/,np,tài nguyên thiên nhiên
NATURAL WONDER,natural wonder,/ˌnætʃrəl ˈwʌndər/,np,kỳ quan thiên nhiên
NATURE RESERVE,nature reserve,/ˈneɪtʃər rɪzɜːrv/,np,khu bảo tồn thiên nhiên
NAVIGATE,navigate,/ˈnævɪɡeɪt/,v,điều hướng; dẫn đường
NAVIGATE,navigation,/ˌnævɪˈɡeɪʃn/,n,ngành hàng hải; sự điều hướng
NECESSARY,necessary,/ˈnesəseri/,a,cần thiết
