Root word,Word,Phonetic,Type,Vietnamese meaning
Come across,Come across,/kʌm əˈkrɒs/,phr.v,Tình cờ gặp
Come across,Bump into,/bʌmp ˈɪntuː/,phr.v,Tình cờ gặp
Come across,Run into,/rʌn ˈɪntuː/,phr.v,Tình cờ gặp
Go over,Go over,/ɡəʊ ˈəʊvər/,v,Kiểm tra lại; nắm lại
Look up,Look up,/lʊk ʌp/,phr.v,Tra cứu
Look for,Look for,/lʊk fɔːr/,phr.v,Tìm kiếm
Look over,Look over,/lʊk ˈəʊvər/,phr.v,Kiểm tra; xem xét
Lyric,Lyric,/ˈlɪrɪk/,n,Lời bài hát
Method,Method,/ˈmeθəd/,n,Phương pháp
Method,Methodical,/məˈθɒdɪkəl/,adj,Có phương pháp
Note down,Note down,/nəʊt daʊn/,phr.v,Ghi chú
Subtitle,Subtitle,/ˈsʌbˌtaɪtəl/,n,Phụ đề
Turn on,Turn on,/tɜːrn ɒn/,phr.v,Bật lên
