Root word,Word,Phonetic,Type,Vietnamese meaning
ACCOUNT FOR,Account for,,phr.v,Chiếm bao nhiêu %; giải thích
ACT OUT,Act out,,phr.v,Đóng vai; đóng kịch
ASK FOR,Ask for st,,phr.v,Xin cái gì
ASK AFTER,Ask after,,phr.v,Hỏi thăm
ASK SB OUT,Ask sb out,,phr.v,Mời ai đó đi ăn/đi xem phim để hẹn hò
BREAK DOWN,Break down,,phr.v,Chia nhỏ ra; hỏng hóc; ngất xỉu
BREAK INTO,Break into,,phr.v,Đột nhập vào
BREAK OUT,Break out,,phr.v,Nổ ra
BREAK UP,Break up,,phr.v,Chia tay
BRING ABOUT,Bring about,,phr.v,Gây ra; mang lại
BRING SB UP,Bring sb up,,phr.v,Nuôi nấng ai
BRING OUT,Bring out,,phr.v,Làm nổi bật
BRING BACK,Bring back,,phr.v,Mang lại; gợi nhớ
BLOW OUT,Blow out,,phr.v,Thổi tắt
BUILD UP,Build up,,phr.v,Tăng lên; ca ngợi
BREATHE IN,Breathe in,,phr.v,Hít vào
Take in,Take in,,phr.v,Hít vào
Inhale,Inhale,,phr.v,Hít vào
CALM DOWN,Calm down,,phr.v,Bình tĩnh
CLEAR OUT,Clear out,,phr.v,CuỐn xéo; dọn sạch
CARE FOR,Care for,,phr.v,Chăm sóc; thích
CARE ABOUT,Care about,,phr.v,Quan tâm
CLEAN UP,Clean up,,phr.v,Dọn dẹp
CALL FOR,Call for,,phr.v,Cần; đòi hỏi; yêu cầu
CALL OUT,Call out,,phr.v,Gọi to; hét to
CALL OFF,Call off,,phr.v,Hủy
CALL UP,Call up,,phr.v,Gọi cho ai/gọi đi lính
CARRY ON,Carry on,,phr.v,Tiếp tục
CARRY OUT,Carry out,,phr.v,Tiến hành; thực hiện
CARRY AWAY,Carry away,,phr.v,Phấn khích; kích động
CARRY OVER,Carry over,,phr.v,Chuyển vào; đi vào
CUT DOWN,Cut down,,phr.v,Chặt/đốn
CUT OFF,Cut off,,phr.v,Cắt; cúp; ngừng cung cấp (điện; gas...)
CUT IN,Cut in,,phr.v,Xen vào; ngắt lời
CUT DOWN ON,Cut down on,,phr.v,Cắt giảm
CROP UP,Crop up,,phr.v,Xảy ra một cách bất ngờ
