Root word,Word,Phonetic,Type,Vietnamese meaning
SLIPPERY,slippery,/ˈslɪpəri/,a,trơn trượt
SMARTWATCH,smartwatch,/ˈsmɑːrtwɒtʃ/,n,đồng hồ thông minh
SMOOTH TRIP,smooth trip,/ˈsmuːð trɪp/,np,chuyến đi suôn sẻ
SNOW-COVERED,snow-covered,/ˈsnəʊ kʌvərd/,a,tuyết phủ
SOFTWARE ENGINEER,software engineer,/ˈsɒftweər endʒɪnɪr/,np,kỹ sư phần mềm
SOLAR SYSTEM,solar system,/ˈsəʊlər sɪstəm/,np,hệ mặt trời
SOLDIER,soldier,/ˈsəʊldʒər/,n,binh sĩ; người lính
SOUVENIR,souvenir,/ˌsuːvəˈnɪr/,n,quà lưu niệm
SPECIALTY FOOD,specialty food,/ˈspeʃəlti fuːd/,np,món ăn đặc sản
SPORTS TOURISM,sports tourism,/ˈspɔːrts ˈtʊrɪzəm/,np,du lịch thể thao
SQUIRREL,squirrel,/ˈskwɜːrəl/,n,con sóc
STATUS,status,/ˈsteɪtəs/,n,trạng thái; địa vị
STEEL,steel,/stiːl/,n,thép
STEEP,steep,/stiːp/,a,dốc
STRETCH,stretch,/stretʃ/,v,kéo dài; vươn vai
STRUCTURE,structure,/ˈstrʌktʃər/,n,kết cấu; cấu trúc
STUFF,stuff,/stʌf/,n,thứ lặt vặt
STYLISH,stylish,/ˈstaɪlɪʃ/,a,phong cách; sành điệu
SUBURB,suburb,/ˈsʌbɜːrb/,n,ngoại ô; ngoại thành
SURFACE,surface,/ˈsɜːrfɪs/,n,bề mặt
SURGEON,surgeon,/ˈsɜːrdʒən/,n,bác sĩ phẫu thuật
SURGEON,surgery,/ˈsɜːrdʒəri/,n,ca phẫu thuật
SURGEON,surgical,/ˈsɜːrdʒɪkl/,a,thuộc phẫu thuật
SUSTAINABLE,sustainable,/səˈsteɪnəbl/,a,bền vững
SUSTAINABLE,sustainability,/səˌsteɪnəˈbɪləti/,n,tính bền vững
TABLET,tablet,/ˈtæblət/,n,viên thuốc; máy tính bảng
TAILOR,tailor,/ˈteɪlər/,n,thợ may
TAKEAWAY,takeaway,/ˈteɪkəweɪ/,n,mua mang về
TAN,tan,/tæn/,n,rám nắng
TAN,tan,/tæn/,v,rám nắng
TEACHER'S COLLEGE,teacher's college,/ˈtiːtʃər kɒlɪdʒ/,np,trường sư phạm
TECHNIQUE,technique,/tekˈniːk/,n,kỹ thuật
TEEN-FRIENDLY,teen-friendly,/ˈtiːn ˈfrendli/,a,thân thiện với giới trẻ
TEMPLE COMPLEX,temple complex,/ˈtempl kɒmpleks/,np,quần thể đền chùa
TERMINAL,terminal,/ˈtɜːrmɪnl/,n,nhà ga
TERRACED FIELD,terraced field,/ˈterəst fiːld/,np,ruộng bậc thang
TERRIBLE,terrible,/ˈterəbl/,a,kinh khủng
TERRIFIC,terrific,/təˈrɪfɪk/,a,tuyệt vời
TERRITORY,territory,/ˈterətɔːri/,n,lãnh thổ
THEME,theme,/θiːm/,n,chủ đề; đề tài
THEORETICAL,theoretical,/ˌθɪəˈretɪkl/,a,thuộc lý thuyết
THEORETICAL,theory,/ˈθɪəri/,n,học thuyết; lý thuyết
THREATEN,threaten,/ˈθretn/,v,hăm dọa; đe dọa
THREATEN,threat,/θret/,n,mối đe dọa
THREATEN,threatening,/ˈθretnɪŋ/,a,mang tính đe dọa
THREE-DIMENSIONAL,three-dimensional,/ˌθriː daɪˈmenʃənl/,a,ba chiều
THRILLING,thrilling,/ˈθrɪlɪŋ/,a,kịch tính; ly kỳ
TOUCHING MOMENT,touching moment,/ˈtʌtʃɪŋ ˈməʊmənt/,np,khoảnh khắc cảm động
TOUCHSCREEN,touchscreen,/ˈtʌtʃskriːn/,n,màn hình cảm ứng
TOURIST,tourist,/ˈtʊərɪst/,n,du khách
TOURIST,tourism,/ˈtʊərɪzəm/,n,du lịch
TOURIST,ecotourism,/ˈiːkəʊtʊərɪzəm/,n,du lịch sinh thái
TOURIST,tour,/tʊər/,n,chuyến du lịch
TOURIST ATTRACTION,tourist attraction,/ˈtʊərɪst əˈtrækʃn/,np,địa điểm thu hút khách du lịch
TRADITION,tradition,/trəˈdɪʃn/,n,truyền thống
TRAFFIC CONGESTION,traffic congestion,/ˈtræfɪk kənˈdʒestʃən/,np,ùn tắc giao thông
TRAFFIC FLOW,traffic flow,/ˈtræfɪk fləʊ/,np,lưu lượng giao thông
TRAFFIC SAFETY,traffic safety,/ˈtræfɪk ˈseɪfti/,np,an toàn giao thông
TRAINING COURSE,training course,/ˈtreɪnɪŋ kɔːrs/,np,khóa huấn luyện; khóa đào tạo
TRANSPORTATION,transportation,/ˌtrænspərˈteɪʃn/,n,giao thông vận tải
TRAVEL AGENT,travel agent,/ˈtrævl eɪdʒənt/,np,nhân viên lữ hành
TRAVEL AGENT,travel agency,/ˈtrævl eɪdʒənsi/,np,đại lý lữ hành
TRAVEL APP,travel app,/ˈtrævl æp/,np,ứng dụng du lịch
TRAVELER,traveler,/ˈtrævələr/,n,du khách
TRIBAL,tribal,/ˈtraɪbl/,a,bộ lạc; bộ tộc
