Root word,Word,Phonetic,Type,Vietnamese meaning
BREADWINNER,Breadwinner,/ˈbredˌwɪnər/,n,Lao động chính (người kiếm tiền chính)
CONNECT,Connect,/kəˈnekt/,v,Nối; kết nối
CONNECT,Connection,/kəˈnekʃən/,n,Mối liên hệ; sự liên kết
DIVORCEE,Divorcee,/dɪˌvɔːrˈsiː/,n,Người ly hôn
DIVORCEE,Divorce,/dɪˈvɔːrs/,n,Sự ly hôn
EXTEND,Extend,/ɪkˈstend/,v,Mở rộng; kéo dài
EXTEND,Extended,/ɪkˈstendɪd/,adj,Mở rộng; kéo dài
EXTEND,Extended family,/ɪkˈstendɪd ˈfæmɪli/,n,Gia đình mở rộng (ông bà bố mẹ con cái)
EXTEND,Nuclear family,/ˈnjuːklɪər ˈfæmɪli/,n,Gia đình hạt nhân (ba mẹ con cái)
EXTEND,Single parent family,/ˈsɪŋɡəl ˈpeərənt ˈfæmɪli/,n,Gia đình không có con
EXTEND,Step family,/ˈstep ˈfæmɪli/,n,Ba/mẹ là ba/mẹ ghẻ
EXTEND,Extensive,/ɪkˈstensɪv/,adj,Rộng lớn; bao quát
GENERATE,Generate,/ˈdʒenəreɪt/,v,Tạo ra; phát sinh; phát
GENERATE,Generation,/ˌdʒenəˈreɪʃən/,n,Thế hệ
HOUSE HUSBAND,House husband,/ˈhaʊs ˈhʌzbənd/,n,Người chồng làm nội trợ
HOUSE HUSBAND,Housewife,/ˈhaʊswaɪf/,n,Người vợ làm nội trợ
MARRY,Marry,/ˈmæri/,v,Lấy vợ/chồng
MARRY,Marriage,/ˈmærɪdʒ/,n,Hôn nhân
MARRY,Married,/ˈmærid/,adj,Đã kết hôn
OFFICIAL,Official,/əˈfɪʃəl/,n,Viên chức; công chức
OFFICIAL,Official,/əˈfɪʃəl/,adj,Chính thức
OFFICIAL,Officially,/əˈfɪʃəli/,adv,Một cách chính thức
RELATE,Relate,/rɪˈleɪt/,v,Liên hệ; liên lạc; gắn kết với
RELATE,Relative,/ˈrelətɪv/,n,Họ hàng
RELATE,Relation,/rɪˈleɪʃən/,n,Mối quan hệ
RELATE,Relative,/ˈrelətɪv/,adj,Có liên quan đến cái gì
RELATE,Related,/rɪˈleɪtɪd/,adj,Có mối liên hệ với
SINGLES,Singles,/ˈsɪŋɡəlz/,n,Trận đánh đơn
SINGLES,Single,/ˈsɪŋɡəl/,n,Đĩa đơn
SINGLES,Single,/ˈsɪŋɡəl/,adj,Độc thân
