Root word,Word,Phonetic,Type,Vietnamese meaning
ACADEMIC,Academic,/ˌækəˈdemɪk/,a,Mang tính học thuật
ACCESS,Access,/ˈækses/,n,Sự truy cập; tiếp cận
ACCESS,Access,/ˈækses/,v,Truy cập; tiếp cận
ACCOMMODATION,Accommodation,/əˌkɒməˈdeɪʃn/,n,Chỗ ở
ACHIEVE,Achieve,/əˈtʃiːv/,v,Đạt được
ACHIEVE,Achievement,/əˈtʃiːvmənt/,n,Thành tích; thành tựu
ACT,Act,/ækt/,v,Hành động
ACT,Action,/ˈækʃn/,n,Hành động
ACT,Activity,/ækˈtɪvəti/,n,Hoạt động
ACT,Active,/ˈæktɪv/,a,Đang hoạt động; năng động
ACT,Actor,/ˈæktər/,n,Diễn viên nam
ACT,Actress,/ˈæktrəs/,n,Nữ diễn viên
ADDITIONAL,Additional,/əˈdɪʃənl/,a,Thêm vào; bổ sung
ADJUST,Adjust,/əˈdʒʌst/,v,Điều chỉnh
ADMIRE,Admire,/ədˈmaɪər/,v,Ngưỡng mộ
ADMIRE,Admirable,/ˈædmərəbl/,a,Đáng ngưỡng mộ
ADMIRE,Admiring,/ədˈmaɪərɪŋ/,a,Ngưỡng mộ
ADMIRE,Admiration,/ˌædməˈreɪʃn/,n,Sự ngưỡng mộ
ADVANTAGE,Advantage,/ədˈvæntɪdʒ/,n,Lợi thế; thuận lợi; ưu điểm
ADVANTAGE,Disadvantage,/ˌdɪsədˈvæntɪdʒ/,n,Điều bất lợi; sự thiệt thòi
ADVENTURE,Adventure,/ədˈventʃər/,n,Cuộc phiêu lưu
ADVENTURE,Adventurer,/ədˈventʃərər/,n,Người phiêu lưu
ADVENTURE,Adventurous,/ədˈventʃərəs/,a,Phiêu lưu mạo hiểm
AFFECT,Affect,/əˈfekt/,v,Ảnh hưởng
ALIVE,Alive,/əˈlaɪv/,a,Còn sống
ALUMINUM,Aluminum,/ˌæləˈmɪniəm/,n,Nhôm
AMAZING,Amazing,/əˈmeɪzɪŋ/,a,Tuyệt vời
AMAZING,Amazed,/əˈmeɪzd/,a,Ngạc nhiên
AMAZING,Amaze,/əˈmeɪz/,v,Làm ngạc nhiên
AMAZING,Amazement,/əˈmeɪzmənt/,n,Sự ngạc nhiên
ANCESTOR,Ancestor,/ˈænsestər/,n,Tổ tiên
ANCIENT,Ancient,/ˈeɪnʃənt/,a,Cổ xưa; cổ đại
ANCIENT,Ancient city,/ˌeɪnʃənt ˈsɪti/,np,Thành phố cổ
ANNIVERSARY,Anniversary,/ˌænɪˈvɜːrsəri/,n,Ngày kỷ niệm
ANNUAL,Annual,/ˈænjuəl/,a,Hàng năm; thường niên
ANXIETY,Anxiety,/æŋˈzaɪəti/,n,Sự lo lắng
APPEAR,Appear,/əˈpɪər/,v,Xuất hiện
APPRECIATE,Appreciate,/əˈpriːʃieɪt/,v,Cảm kích; đánh giá cao
APPRECIATE,Appreciation,/əˌpriːʃiˈeɪʃn/,n,Sự đánh giá cao; sự trân trọng
APPRECIATE,Appreciable,/əˈpriːʃəbl/,a,Đáng kể
APPRECIATE,Appreciative,/əˈpriːʃətɪv/,a,Biết ơn; tán thưởng
APPROPRIATELY,Appropriately,/əˈprəʊpriətli/,adv,Thích hợp
OCEAN,Arctic ocean,/ˌɑːrktɪk ˈəʊʃn/,np,Bắc Băng Dương
OCEAN,Pacific ocean,/pəˌsɪfɪk ˈəʊʃn/,np,Thái Bình Dương
OCEAN,Atlantic ocean,/ətˌlæntɪk ˈəʊʃn/,np,Đại Tây Dương
ARMY CAMP,Army camp,/ˈɑːrmi kæmp/,np,Trại quân đội
ARRIVAL,Arrival,/əˈraɪvl/,n,Sự đến
ARTISAN,Artisan,/ˈɑːrtəzn/,n,Nghệ nhân
ASSEMBLY WORKER,Assembly worker,/əˈsembli ˈwɜːrkər/,np,Công nhân lắp ráp
ASSIGNMENT,Assignment,/əˈsaɪnmənt/,n,Bài tập; phần việc được phân công
ASSIGNMENT,Assign,/əˈsaɪn/,v,Giao phó; phân công
ASSOCIATED,Associated,/əˈsəʊsieɪtɪd/,a,Có liên quan
BALANCE,Balance,/ˈbæləns/,n,Sự cân bằng; cân bằng
BALANCE,Balance,/ˈbæləns/,v,Cân bằng; cân bằng
BARTENDER,Bartender,/ˈbɑːrtendər/,n,Nhân viên pha chế rượu
BARTENDER,Bartending,/ˈbɑːrtendɪŋ/,n,Pha chế rượu
BASIC,Basic,/ˈbeɪsɪk/,a,Cơ bản; căn bản; nền tảng
BILINGUAL,Bilingual,/ˌbaɪˈlɪŋɡwəl/,n,Song ngữ
BIODIVERSITY,Biodiversity,/ˌbaɪəʊdaɪˈvɜːrsəti/,n,Sự đa dạng sinh học
